numfips,csa_f_a,name_csa_f_a
40087,100416,"Oklahoma City-Shawnee, OK"
40109,100416,"Oklahoma City-Shawnee, OK"
36009,100160,"Buffalo-Cheektowaga-Olean, NY"
53067,100500,"Seattle-Tacoma, WA"
19085,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
19129,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
19155,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
31025,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
31055,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
31153,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
31155,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
31177,100420,"Omaha-Council Bluffs-Fremont, NE-IA"
36077,36580,"Oneonta, NY"
16075,100147,"Boise City-Mountain Home-Ontario, ID-OR"
41045,100147,"Boise City-Mountain Home-Ontario, ID-OR"
22097,100318,"Lafayette-Opelousas-Morgan City, LA"
45075,100192,"Columbia-Orangeburg-Newberry, SC"
12069,100422,"Orlando-Lakeland-Deltona, FL"
12095,100422,"Orlando-Lakeland-Deltona, FL"
12097,100422,"Orlando-Lakeland-Deltona, FL"
12117,100422,"Orlando-Lakeland-Deltona, FL"
55139,100118,"Appleton-Oshkosh-Neenah, WI"
19123,100218,"Des Moines-Ames-West Des Moines, IA"
53001,100393,"Moses Lake-Othello, WA"
17011,100176,"Chicago-Naperville, IL-IN-WI"
17099,100176,"Chicago-Naperville, IL-IN-WI"
17155,100176,"Chicago-Naperville, IL-IN-WI"
20059,100312,"Kansas City-Overland Park-Kansas City, MO-KS"
19179,36900,"Ottumwa, IA"
27147,100378,"Minneapolis-St. Paul, MN-WI"
21059,36980,"Owensboro, KY"
21091,36980,"Owensboro, KY"
21149,36980,"Owensboro, KY"
28071,37060,"Oxford, MS"
6111,100348,"Los Angeles-Long Beach, CA"
1045,100222,"Dothan-Ozark, AL"
17127,100424,"Paducah-Mayfield, KY-IL"
21007,100424,"Paducah-Mayfield, KY-IL"
21139,100424,"Paducah-Mayfield, KY-IL"
21145,100424,"Paducah-Mayfield, KY-IL"
32023,100332,"Las Vegas-Henderson, NV"
12107,100300,"Jacksonville-St. Marys-Palatka, FL-GA"
48001,37300,"Palestine, TX"
12009,37340,"Palm Bay-Melbourne-Titusville, FL"
48179,100108,"Amarillo-Pampa-Borger, TX"
48393,100108,"Amarillo-Pampa-Borger, TX"
12005,37460,"Panama City, FL"
5055,100308,"Jonesboro-Paragould, AR"
47079,37540,"Paris, TN"
48277,37580,"Paris, TX"
54105,100425,"Parkersburg-Marietta-Vienna, WV-OH"
54107,100425,"Parkersburg-Marietta-Vienna, WV-OH"
20099,37660,"Parsons, KS"
4007,100429,"Phoenix-Mesa, AZ"
48163,100484,"San Antonio-New Braunfels-Pearsall, TX"
48301,37780,"Pecos, TX"
48389,37780,"Pecos, TX"
19125,100218,"Des Moines-Ames-West Des Moines, IA"
12033,100426,"Pensacola-Ferry Pass, FL-AL"
12113,100426,"Pensacola-Ferry Pass, FL-AL"
17057,37900,"Peoria, IL"
17123,37900,"Peoria, IL"
17143,37900,"Peoria, IL"
17175,37900,"Peoria, IL"
17179,37900,"Peoria, IL"
17203,37900,"Peoria, IL"
18103,100316,"Kokomo-Peru, IN"
34005,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
34007,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
34015,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
42017,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
42029,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
42091,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
42045,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
42101,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
10003,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
24015,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
34033,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
4013,100429,"Phoenix-Mesa, AZ"
4021,100429,"Phoenix-Mesa, AZ"
28109,100406,"New Orleans-Metairie-Hammond, LA-MS"
46065,38180,"Pierre, SD"
46117,38180,"Pierre, SD"
5025,100340,"Little Rock-North Little Rock, AR"
5069,100340,"Little Rock-North Little Rock, AR"
5079,100340,"Little Rock-North Little Rock, AR"
37125,100246,"Fayetteville-Sanford-Lumberton, NC"
20037,38260,"Pittsburg, KS"
42003,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42005,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42007,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42019,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42051,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42125,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
42129,100430,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
25003,38340,"Pittsfield, MA"
48189,100352,"Lubbock-Plainview-Levelland, TX"
55043,38420,"Platteville, WI"
36019,38460,"Plattsburgh, NY"
18099,100515,"South Bend-Elkhart-Mishawaka, IN-MI"
16005,38540,"Pocatello, ID"
16077,38540,"Pocatello, ID"
39053,100170,"Charleston-Huntington-Ashland, WV-OH-KY"
54053,100170,"Charleston-Huntington-Ashland, WV-OH-KY"
40071,38620,"Ponca City, OK"
72001,100434,"Ponce-Yauco-Coamo, PR"
72075,100434,"Ponce-Yauco-Coamo, PR"
72113,100434,"Ponce-Yauco-Coamo, PR"
72149,100434,"Ponce-Yauco-Coamo, PR"
17105,100145,"Bloomington-Pontiac, IL"
29023,38740,"Poplar Bluff, MO"
29181,38740,"Poplar Bluff, MO"
35041,100188,"Clovis-Portales, NM"
53009,38820,"Port Angeles, WA"
23005,100438,"Portland-Lewiston-South Portland, ME"
23023,100438,"Portland-Lewiston-South Portland, ME"
23031,100438,"Portland-Lewiston-South Portland, ME"
41005,100440,"Portland-Vancouver-Salem, OR-WA"
41009,100440,"Portland-Vancouver-Salem, OR-WA"
41051,100440,"Portland-Vancouver-Salem, OR-WA"
41067,100440,"Portland-Vancouver-Salem, OR-WA"
41071,100440,"Portland-Vancouver-Salem, OR-WA"
53011,100440,"Portland-Vancouver-Salem, OR-WA"
53059,100440,"Portland-Vancouver-Salem, OR-WA"
48057,100544,"Victoria-Port Lavaca, TX"
12085,100370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
12111,100370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
39145,100170,"Charleston-Huntington-Ashland, WV-OH-KY"
42107,39060,"Pottsville, PA"
36027,100408,"New York-Newark, NY-NJ-CT-PA"
36071,100408,"New York-Newark, NY-NJ-CT-PA"
4025,39150,"Prescott Valley-Prescott, AZ"
49007,39220,"Price, UT"
41013,100140,"Bend-Prineville, OR"
25005,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
44001,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
44003,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
44005,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
44007,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
44009,100148,"Boston-Worcester-Providence, MA-RI-NH-CT"
49023,100482,"Salt Lake City-Provo-Orem, UT"
49049,100482,"Salt Lake City-Provo-Orem, UT"
8101,100444,"Pueblo-Cañon City, CO"
53075,100446,"Pullman-Moscow, WA-ID"
12015,100412,"North Port-Sarasota, FL"
17001,100448,"Quincy-Hannibal, IL-MO"
29111,100448,"Quincy-Hannibal, IL-MO"
55101,100376,"Milwaukee-Racine-Waukesha, WI"
37069,100450,"Raleigh-Durham-Cary, NC"
37101,100450,"Raleigh-Durham-Cary, NC"
37183,100450,"Raleigh-Durham-Cary, NC"
46093,100452,"Rapid City-Spearfish, SD"
46103,100452,"Rapid City-Spearfish, SD"
48489,100154,"Brownsville-Harlingen-Raymondville, TX"
42011,100428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
6103,100454,"Redding-Red Bluff, CA"
6089,100454,"Redding-Red Bluff, CA"
27049,100378,"Minneapolis-St. Paul, MN-WI"
32029,100456,"Reno-Carson City-Fernley, NV"
32031,100456,"Reno-Carson City-Fernley, NV"
16043,100292,"Idaho Falls-Rexburg-Blackfoot, ID"
16065,100292,"Idaho Falls-Rexburg-Blackfoot, ID"
18177,100458,"Richmond-Connersville, IN"
51007,40060,"Richmond, VA"
51036,40060,"Richmond, VA"
51041,40060,"Richmond, VA"
51053,40060,"Richmond, VA"
51075,40060,"Richmond, VA"
51085,40060,"Richmond, VA"
51087,40060,"Richmond, VA"
51097,40060,"Richmond, VA"
51101,40060,"Richmond, VA"
51127,40060,"Richmond, VA"
51145,40060,"Richmond, VA"
51149,40060,"Richmond, VA"
51183,40060,"Richmond, VA"
51570,40060,"Richmond, VA"
51670,40060,"Richmond, VA"
51730,40060,"Richmond, VA"
51760,40060,"Richmond, VA"
21065,100336,"Lexington-Fayette--Richmond--Frankfort, KY"
21151,100336,"Lexington-Fayette--Richmond--Frankfort, KY"
48427,100365,"McAllen-Edinburg, TX"
6065,100348,"Los Angeles-Long Beach, CA"
6071,100348,"Los Angeles-Long Beach, CA"
56013,40180,"Riverton, WY"
51023,40220,"Roanoke, VA"
51045,40220,"Roanoke, VA"
51067,40220,"Roanoke, VA"
51161,40220,"Roanoke, VA"
51770,40220,"Roanoke, VA"
51775,40220,"Roanoke, VA"
37083,100468,"Rocky Mount-Wilson-Roanoke Rapids, NC"
37131,100468,"Rocky Mount-Wilson-Roanoke Rapids, NC"
17141,100466,"Rockford-Freeport-Rochelle, IL"
27039,100462,"Rochester-Austin, MN"
27045,100462,"Rochester-Austin, MN"
27109,100462,"Rochester-Austin, MN"
27157,100462,"Rochester-Austin, MN"
36051,100464,"Rochester-Batavia-Seneca Falls, NY"
36055,100464,"Rochester-Batavia-Seneca Falls, NY"
36069,100464,"Rochester-Batavia-Seneca Falls, NY"
36073,100464,"Rochester-Batavia-Seneca Falls, NY"
36117,100464,"Rochester-Batavia-Seneca Falls, NY"
36123,100464,"Rochester-Batavia-Seneca Falls, NY"
17007,100466,"Rockford-Freeport-Rochelle, IL"
17201,100466,"Rockford-Freeport-Rochelle, IL"
37153,40460,"Rockingham, NC"
48007,100204,"Corpus Christi-Kingsville-Alice, TX"
56037,40540,"Rock Springs, WY"
37065,100468,"Rocky Mount-Wilson-Roanoke Rapids, NC"
37127,100468,"Rocky Mount-Wilson-Roanoke Rapids, NC"
29161,40620,"Rolla, MO"
13115,100122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
41019,40700,"Roseburg, OR"
35005,40740,"Roswell, NM"
35027,40760,"Ruidoso, NM"
5115,40780,"Russellville, AR"
5149,40780,"Russellville, AR"
22061,100384,"Monroe-Ruston, LA"
50021,40860,"Rutland, VT"
6017,100472,"Sacramento-Roseville, CA"
6061,100472,"Sacramento-Roseville, CA"
6067,100472,"Sacramento-Roseville, CA"
6113,100472,"Sacramento-Roseville, CA"
4009,40940,"Safford, AZ"
26145,100474,"Saginaw-Midland-Bay City, MI"
27009,100378,"Minneapolis-St. Paul, MN-WI"
27145,100378,"Minneapolis-St. Paul, MN-WI"
49053,41100,"St. George, UT"
20043,100312,"Kansas City-Overland Park-Kansas City, MO-KS"
29003,100312,"Kansas City-Overland Park-Kansas City, MO-KS"
29021,100312,"Kansas City-Overland Park-Kansas City, MO-KS"
29063,100312,"Kansas City-Overland Park-Kansas City, MO-KS"
17005,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17013,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17027,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17083,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17117,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17119,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17133,100476,"St. Louis-St. Charles-Farmington, MO-IL"
17163,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29071,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29099,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29113,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29183,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29189,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29219,100476,"St. Louis-St. Charles-Farmington, MO-IL"
29510,100476,"St. Louis-St. Charles-Farmington, MO-IL"
13039,100300,"Jacksonville-St. Marys-Palatka, FL-GA"
42047,41260,"St. Marys, PA"
39029,100566,"Youngstown-Warren, OH-PA"
41047,100440,"Portland-Vancouver-Salem, OR-WA"
41053,100440,"Portland-Vancouver-Salem, OR-WA"
20143,41460,"Salina, KS"
20169,41460,"Salina, KS"
6053,41500,"Salinas, CA"
10005,100480,"Salisbury-Cambridge, MD-DE"
24039,100480,"Salisbury-Cambridge, MD-DE"
24045,100480,"Salisbury-Cambridge, MD-DE"
24047,100480,"Salisbury-Cambridge, MD-DE"
49035,100482,"Salt Lake City-Provo-Orem, UT"
49045,100482,"Salt Lake City-Provo-Orem, UT"
48235,41660,"San Angelo, TX"
48431,41660,"San Angelo, TX"
48451,41660,"San Angelo, TX"
48013,100484,"San Antonio-New Braunfels-Pearsall, TX"
48019,100484,"San Antonio-New Braunfels-Pearsall, TX"
48029,100484,"San Antonio-New Braunfels-Pearsall, TX"
48091,100484,"San Antonio-New Braunfels-Pearsall, TX"
48187,100484,"San Antonio-New Braunfels-Pearsall, TX"
48259,100484,"San Antonio-New Braunfels-Pearsall, TX"
48325,100484,"San Antonio-New Braunfels-Pearsall, TX"
48493,100484,"San Antonio-New Braunfels-Pearsall, TX"
6073,41740,"San Diego-Chula Vista-Carlsbad, CA"
16017,41760,"Sandpoint, ID"
39043,100184,"Cleveland-Akron-Canton, OH"
37105,100246,"Fayetteville-Sanford-Lumberton, NC"
6001,100488,"San Jose-San Francisco-Oakland, CA"
6013,100488,"San Jose-San Francisco-Oakland, CA"
6075,100488,"San Jose-San Francisco-Oakland, CA"
6081,100488,"San Jose-San Francisco-Oakland, CA"
6041,100488,"San Jose-San Francisco-Oakland, CA"
72023,100364,"Mayagüez-San Germán, PR"
72079,100364,"Mayagüez-San Germán, PR"
72121,100364,"Mayagüez-San Germán, PR"
72125,100364,"Mayagüez-San Germán, PR"
6069,100488,"San Jose-San Francisco-Oakland, CA"
6085,100488,"San Jose-San Francisco-Oakland, CA"
72007,100490,"San Juan-Bayamón, PR"
72009,100490,"San Juan-Bayamón, PR"
72017,100490,"San Juan-Bayamón, PR"
72019,100490,"San Juan-Bayamón, PR"
72021,100490,"San Juan-Bayamón, PR"
72025,100490,"San Juan-Bayamón, PR"
72029,100490,"San Juan-Bayamón, PR"
72031,100490,"San Juan-Bayamón, PR"
72033,100490,"San Juan-Bayamón, PR"
72035,100490,"San Juan-Bayamón, PR"
72037,100490,"San Juan-Bayamón, PR"
72039,100490,"San Juan-Bayamón, PR"
72041,100490,"San Juan-Bayamón, PR"
72045,100490,"San Juan-Bayamón, PR"
72047,100490,"San Juan-Bayamón, PR"
72051,100490,"San Juan-Bayamón, PR"
72053,100490,"San Juan-Bayamón, PR"
72054,100490,"San Juan-Bayamón, PR"
72061,100490,"San Juan-Bayamón, PR"
72063,100490,"San Juan-Bayamón, PR"
72069,100490,"San Juan-Bayamón, PR"
72077,100490,"San Juan-Bayamón, PR"
72085,100490,"San Juan-Bayamón, PR"
72087,100490,"San Juan-Bayamón, PR"
72089,100490,"San Juan-Bayamón, PR"
72091,100490,"San Juan-Bayamón, PR"
72095,100490,"San Juan-Bayamón, PR"
72101,100490,"San Juan-Bayamón, PR"
72103,100490,"San Juan-Bayamón, PR"
72105,100490,"San Juan-Bayamón, PR"
72107,100490,"San Juan-Bayamón, PR"
72119,100490,"San Juan-Bayamón, PR"
72127,100490,"San Juan-Bayamón, PR"
72129,100490,"San Juan-Bayamón, PR"
72135,100490,"San Juan-Bayamón, PR"
72137,100490,"San Juan-Bayamón, PR"
72139,100490,"San Juan-Bayamón, PR"
72143,100490,"San Juan-Bayamón, PR"
72145,100490,"San Juan-Bayamón, PR"
72151,100490,"San Juan-Bayamón, PR"
6079,42020,"San Luis Obispo-Paso Robles, CA"
6087,100488,"San Jose-San Francisco-Oakland, CA"
35049,100106,"Albuquerque-Santa Fe-Las Vegas, NM"
72133,100434,"Ponce-Yauco-Coamo, PR"
6083,42200,"Santa Maria-Santa Barbara, CA"
6097,100488,"San Jose-San Francisco-Oakland, CA"
26033,42300,"Sault Ste. Marie, MI"
13029,100496,"Savannah-Hinesville-Statesboro, GA"
13051,100496,"Savannah-Hinesville-Statesboro, GA"
13103,100496,"Savannah-Hinesville-Statesboro, GA"
42015,42380,"Sayre, PA"
31007,42420,"Scottsbluff, NE"
31157,42420,"Scottsbluff, NE"
31165,42420,"Scottsbluff, NE"
1071,100497,"Scottsboro-Fort Payne, AL"
18143,100350,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
42069,42540,"Scranton--Wilkes-Barre, PA"
42079,42540,"Scranton--Wilkes-Barre, PA"
42131,42540,"Scranton--Wilkes-Barre, PA"
5145,100340,"Little Rock-North Little Rock, AR"
53033,100500,"Seattle-Tacoma, WA"
53061,100500,"Seattle-Tacoma, WA"
53053,100500,"Seattle-Tacoma, WA"
12061,100370,"Miami-Port St. Lucie-Fort Lauderdale, FL"
12055,42700,"Sebring-Avon Park, FL"
29159,42740,"Sedalia, MO"
42109,100146,"Bloomsburg-Berwick-Sunbury, PA"
1047,100388,"Montgomery-Selma-Alexander City, AL"
45073,100273,"Greenville-Spartanburg-Anderson, SC"
36099,100464,"Rochester-Batavia-Seneca Falls, NY"
47155,100315,"Knoxville-Morristown-Sevierville, TN"
18071,100294,"Indianapolis-Carmel-Muncie, IN"
55078,100267,"Green Bay-Shawano, WI"
55115,100267,"Green Bay-Shawano, WI"
40125,100416,"Oklahoma City-Shawnee, OK"
55117,43100,"Sheboygan, WI"
37045,100172,"Charlotte-Concord, NC-SC"
47003,100400,"Nashville-Davidson--Murfreesboro, TN"
53045,100500,"Seattle-Tacoma, WA"
56033,43260,"Sheridan, WY"
48181,100206,"Dallas-Fort Worth, TX-OK"
4017,43320,"Show Low, AZ"
22015,100508,"Shreveport-Bossier City-Minden, LA"
22017,100508,"Shreveport-Bossier City-Minden, LA"
22031,100508,"Shreveport-Bossier City-Minden, LA"
39149,100212,"Dayton-Springfield-Kettering, OH"
4003,43420,"Sierra Vista-Douglas, AZ"
29201,100164,"Cape Girardeau-Sikeston, MO-IL"
35017,43500,"Silver City, NM"
19193,43580,"Sioux City, IA-NE-SD"
31043,43580,"Sioux City, IA-NE-SD"
31051,43580,"Sioux City, IA-NE-SD"
46127,43580,"Sioux City, IA-NE-SD"
46083,43620,"Sioux Falls, SD"
46087,43620,"Sioux Falls, SD"
46099,43620,"Sioux Falls, SD"
46125,43620,"Sioux Falls, SD"
48415,43660,"Snyder, TX"
21199,43700,"Somerset, KY"
42111,100306,"Johnstown-Somerset, PA"
6109,43760,"Sonora, CA"
18141,100515,"South Bend-Elkhart-Mishawaka, IN-MI"
26027,100515,"South Bend-Elkhart-Mishawaka, IN-MI"
45083,100273,"Greenville-Spartanburg-Anderson, SC"
46081,100452,"Rapid City-Spearfish, SD"
19041,100517,"Spencer-Spirit Lake, IA"
19059,100517,"Spencer-Spirit Lake, IA"
53063,100518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
53065,100518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
17129,100522,"Springfield-Jacksonville-Lincoln, IL"
17167,100522,"Springfield-Jacksonville-Lincoln, IL"
25011,44140,"Springfield, MA"
25013,44140,"Springfield, MA"
25015,44140,"Springfield, MA"
29043,44180,"Springfield, MO"
29059,44180,"Springfield, MO"
29077,44180,"Springfield, MO"
29167,44180,"Springfield, MO"
29225,44180,"Springfield, MO"
39023,100212,"Dayton-Springfield-Kettering, OH"
28105,44260,"Starkville, MS"
28155,44260,"Starkville, MS"
42027,100524,"State College-DuBois, PA"
13031,100496,"Savannah-Hinesville-Statesboro, GA"
51015,100277,"Harrisonburg-Staunton, VA"
51790,100277,"Harrisonburg-Staunton, VA"
51820,100277,"Harrisonburg-Staunton, VA"
8107,100525,"Steamboat Springs-Craig, CO"
48143,44500,"Stephenville, TX"
8075,44540,"Sterling, CO"
17195,100221,"Dixon-Sterling, IL"
55097,100554,"Wausau-Stevens Point-Wisconsin Rapids, WI"
40119,44660,"Stillwater, OK"
6077,100488,"San Jose-San Francisco-Oakland, CA"
19021,44740,"Storm Lake, IA"
