numfips,cbsa_f_a,name_cbsa_f_a
46013,10100,"Aberdeen, SD"
46045,10100,"Aberdeen, SD"
53027,10140,"Aberdeen, WA"
48059,10180,"Abilene, TX"
48253,10180,"Abilene, TX"
48441,10180,"Abilene, TX"
40123,10220,"Ada, OK"
26091,10300,"Adrian, MI"
72003,10380,"Aguadilla-Isabela, PR"
72005,10380,"Aguadilla-Isabela, PR"
72011,10380,"Aguadilla-Isabela, PR"
72071,10380,"Aguadilla-Isabela, PR"
72081,10380,"Aguadilla-Isabela, PR"
72099,10380,"Aguadilla-Isabela, PR"
72117,10380,"Aguadilla-Isabela, PR"
72131,10380,"Aguadilla-Isabela, PR"
72141,10380,"Aguadilla-Isabela, PR"
39133,10420,"Akron, OH"
39153,10420,"Akron, OH"
35035,10460,"Alamogordo, NM"
13095,10500,"Albany, GA"
13177,10500,"Albany, GA"
13273,10500,"Albany, GA"
13321,10500,"Albany, GA"
41043,10540,"Albany-Lebanon, OR"
36001,10580,"Albany-Schenectady-Troy, NY"
36083,10580,"Albany-Schenectady-Troy, NY"
36091,10580,"Albany-Schenectady-Troy, NY"
36093,10580,"Albany-Schenectady-Troy, NY"
36095,10580,"Albany-Schenectady-Troy, NY"
37167,10620,"Albemarle, NC"
27047,10660,"Albert Lea, MN"
1095,10700,"Albertville, AL"
35001,10740,"Albuquerque, NM"
35043,10740,"Albuquerque, NM"
35057,10740,"Albuquerque, NM"
35061,10740,"Albuquerque, NM"
1037,10760,"Alexander City, AL"
1123,10760,"Alexander City, AL"
22043,10780,"Alexandria, LA"
22079,10780,"Alexandria, LA"
27041,10820,"Alexandria, MN"
48131,10860,"Alice, TX"
48249,10860,"Alice, TX"
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ"
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ"
26057,10940,"Alma, MI"
26007,10980,"Alpena, MI"
42013,11020,"Altoona, PA"
40065,11060,"Altus, OK"
48011,11100,"Amarillo, TX"
48065,11100,"Amarillo, TX"
48359,11100,"Amarillo, TX"
48375,11100,"Amarillo, TX"
48381,11100,"Amarillo, TX"
13249,11140,"Americus, GA"
13261,11140,"Americus, GA"
19015,11180,"Ames, IA"
19169,11180,"Ames, IA"
36057,11220,"Amsterdam, NY"
2020,11260,"Anchorage, AK"
2170,11260,"Anchorage, AK"
48003,11380,"Andrews, TX"
18151,11420,"Angola, IN"
26161,11460,"Ann Arbor, MI"
1015,11500,"Anniston-Oxford, AL"
55015,11540,"Appleton, WI"
55087,11540,"Appleton, WI"
12027,11580,"Arcadia, FL"
40019,11620,"Ardmore, OK"
40085,11620,"Ardmore, OK"
72013,11640,"Arecibo, PR"
72027,11640,"Arecibo, PR"
72065,11640,"Arecibo, PR"
72115,11640,"Arecibo, PR"
5019,11660,"Arkadelphia, AR"
37021,11700,"Asheville, NC"
37087,11700,"Asheville, NC"
37089,11700,"Asheville, NC"
37115,11700,"Asheville, NC"
39005,11740,"Ashland, OH"
39007,11780,"Ashtabula, OH"
41007,11820,"Astoria, OR"
20005,11860,"Atchison, KS"
39009,11900,"Athens, OH"
47107,11940,"Athens, TN"
48213,11980,"Athens, TX"
13059,12020,"Athens-Clarke County, GA"
13195,12020,"Athens-Clarke County, GA"
13219,12020,"Athens-Clarke County, GA"
13221,12020,"Athens-Clarke County, GA"
13013,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13015,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13035,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13045,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13057,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13063,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13067,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13077,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13085,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13089,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13097,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13113,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13117,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13121,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13135,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13143,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13149,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13151,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13159,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13171,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13199,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13211,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13217,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13223,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13227,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13231,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13247,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
13255,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
